frame,time_s,champion,team,conf,x,y
4140,69.07,Ambessa,T1,0.368,0.4060,0.9421
4170,69.57,Rumble,KT,0.609,0.4046,0.6013
4170,69.57,Ambessa,T1,0.364,0.4059,0.9421
4200,70.07,Rumble,KT,0.606,0.4046,0.6013
4200,70.07,Ambessa,T1,0.364,0.4059,0.9420
4230,70.57,Rumble,KT,0.609,0.4046,0.6013
4230,70.57,Ambessa,T1,0.365,0.4059,0.9421
4260,71.07,Rumble,KT,0.614,0.4046,0.6013
4260,71.07,Ambessa,T1,0.363,0.4059,0.9420
4290,71.57,Rumble,KT,0.613,0.4046,0.6013
4290,71.57,Ambessa,T1,0.366,0.4059,0.9421
4320,72.07,Ambessa,T1,0.644,0.4061,0.9422
4350,72.57,Ambessa,T1,0.644,0.4061,0.9422
4380,73.07,Ambessa,T1,0.631,0.4060,0.9422
4410,73.57,Ambessa,T1,0.631,0.4060,0.9422
4440,74.07,Ambessa,T1,0.635,0.4061,0.9422
4470,74.57,Ambessa,T1,0.638,0.4060,0.9422
4500,75.08,Ambessa,T1,0.636,0.4060,0.9422
4530,75.58,Ambessa,T1,0.646,0.4060,0.9422
4560,76.08,Ambessa,T1,0.648,0.4060,0.9422
4590,76.58,Ambessa,T1,0.649,0.4060,0.9422
4620,77.08,Ambessa,T1,0.647,0.4060,0.9422
4650,77.58,Ambessa,T1,0.616,0.4060,0.9421
4680,78.08,Ambessa,T1,0.612,0.4060,0.9421
4710,78.58,Ambessa,T1,0.614,0.4060,0.9421
4740,79.08,Ambessa,T1,0.575,0.4059,0.9422
4770,79.58,Ambessa,T1,0.572,0.4059,0.9423
4800,80.08,Ambessa,T1,0.566,0.4059,0.9422
4830,80.58,Ambessa,T1,0.559,0.4061,0.9422
4860,81.08,Ambessa,T1,0.361,0.4071,0.9410
4890,81.58,Ambessa,T1,0.515,0.4060,0.9417
4950,82.58,Ryze,KT,0.556,0.4607,0.9432
4980,83.08,Rumble,KT,0.650,0.5514,0.6006
5010,83.58,Rumble,KT,0.626,0.5518,0.6007
5010,83.58,Ryze,KT,0.380,0.5525,0.9406
5040,84.08,Rumble,KT,0.613,0.5518,0.6003
5070,84.58,Rumble,KT,0.662,0.5515,0.6003
5100,85.09,Rumble,KT,0.629,0.5517,0.6003
5130,85.59,Rumble,KT,0.688,0.5517,0.5999
5160,86.09,Rumble,KT,0.670,0.5518,0.5999
5190,86.59,Rumble,KT,0.693,0.5515,0.5999
5190,86.59,Ambessa,T1,0.457,0.5497,0.9411
5250,87.59,Ambessa,T1,0.674,0.4061,0.9418
5280,88.09,Ambessa,T1,0.731,0.4062,0.9418
5310,88.59,Ambessa,T1,0.614,0.4062,0.9411
5340,89.09,Ambessa,T1,0.601,0.4060,0.9419
5370,89.59,Ambessa,T1,0.741,0.4059,0.9422
5400,90.09,Ambessa,T1,0.752,0.4058,0.9420
5430,90.59,Ambessa,T1,0.756,0.4058,0.9421
5460,91.09,Ambessa,T1,0.688,0.4059,0.9416
5490,91.59,Rumble,KT,0.636,0.4045,0.6011
5490,91.59,Ambessa,T1,0.585,0.4058,0.9419
5520,92.09,Rumble,KT,0.638,0.4045,0.6012
5520,92.09,Ambessa,T1,0.585,0.4058,0.9419
